ticker,issuer,portfolio_pct,shares,value,reported_price,activity
OKTA,Okta Inc.,14.38,883441,76391000.0,86.47,Reduce 10.81%
FOUR,Shift4 Payments Inc. CL A,13.62,1148861,72344000.0,62.97,Reduce 8.19%
CSGP,CoStar Group Inc.,12.12,957557,64386000.0,67.24,Add 6.87%
BABA,Alibaba Group Holdings,10.44,378155,55430000.0,146.58,Buy
BRZE,Braze Inc A,9.51,1473005,50509000.0,34.29,Reduce 20.30%
PCOR,Procore Technologies Inc.,9.33,681536,49575000.0,72.74,Reduce 36.77%
MNDY,monday.com Ltd.,7.06,253959,37474000.0,147.56,Reduce 32.14%
FWONK,Liberty Media Corp Formula One Series C,6.9,371829,36629000.0,98.51,Add 70.94%
INTU,Intuit Inc.,6.33,50721,33599000.0,662.43,Reduce 55.65%
BLND,Blend Labs Inc.,5.17,9024099,27433000.0,3.04,Reduce 8.30%
AMZN,Amazon.com Inc.,5.15,118438,27338000.0,230.82,Buy
