ticker,issuer,portfolio_pct,shares,value,reported_price,activity
VFC,V.F. Corp.,23.36,4521894,75425000.0,16.68,Reduce 3.36%
YETI,YETI Holdings Inc.,18.33,1194095,59179000.0,49.56,Reduce 33.07%
GXO,Gxo Logistics Inc.,15.46,984769,49928000.0,50.7,Add 19.84%
EVH,Evolent Health Inc.,9.34,5563912,30156000.0,5.42,
FRPT,Freshpet Inc.,8.87,484741,28658000.0,59.12,Buy
CGNX,Cognex Corp.,7.6,339000,24550000.0,72.42,Reduce 29.96%
BL,BlackLine Inc.,7.19,827619,23231000.0,28.07,Reduce 39.48%
PTLO,Portillo's Inc Cl A,5.05,3442990,16320000.0,4.74,
BRCC,BRC Inc.,4.79,1393556,15468000.0,11.1,
