ticker,issuer,portfolio_pct,shares,value,reported_price,activity
AAPL,Apple Inc.,22.6,227917808,61961735000.0,271.86,Reduce 4.32%
AXP,American Express,20.46,151610700,56088379000.0,369.95,
BAC,Bank of America Corp.,10.38,517295934,28451277000.0,55.0,Reduce 8.94%
KO,Coca Cola Co.,10.2,400000000,27964001000.0,69.91,
CVX,Chevron Corp.,7.24,130156362,19837132000.0,152.41,Add 6.63%
MCO,Moody's Corp.,4.6,24669778,12602556000.0,510.85,
OXY,Occidental Petroleum,3.97,264941431,10894392000.0,41.12,
CB,Chubb Limited,3.9,34249183,10689855000.0,312.12,Add 9.31%
KHC,Kraft Heinz Co.,2.88,325634818,7896644000.0,24.25,
GOOGL,Alphabet Inc.,2.04,17846142,5585842000.0,313.0,
DVA,DaVita HealthCare Partners,1.32,31759065,3608148000.0,113.61,Reduce 1.25%
KR,Kroger Co.,1.14,50000000,3124001000.0,62.48,
V,Visa Inc.,1.06,8297460,2910002000.0,350.71,
SIRI,SiriusXM Holdings Inc,0.91,124807117,2495518000.0,19.99,
MA,Mastercard Inc.,0.83,3986648,2275898000.0,570.88,
VRSN,Verisign Inc.,0.8,8989880,2184091000.0,242.95,
STZ,Constellation Brands,0.65,13000000,1793480000.0,137.96,Reduce 2.99%
COF,Capital One Financial,0.63,7150000,1732874000.0,242.36,
UNH,United Health Group Inc.,0.61,5039564,1663610000.0,330.11,
DPZ,Dominos Pizza Inc.,0.51,3350000,1396347000.0,416.82,Add 12.34%
ALLY,Ally Financial Inc.,0.48,29000000,1313410000.0,45.29,
AON,Aon Plc,0.46,3602995,1271424000.0,352.88,Reduce 12.12%
NUE,Nucor Corp.,0.38,6407749,1045168000.0,163.11,
LLYVK,Liberty Media Corp. Series C Live,0.33,10917661,907912000.0,83.16,
LEN,Lennar Corp.,0.26,7050950,724838000.0,102.8,
POOL,Pool Corp.,0.26,3068885,702007000.0,228.75,Reduce 11.28%
AMZN,Amazon.com Inc.,0.19,2276000,525346000.0,230.82,Reduce 77.24%
LPX,Louisiana-Pacific Corp.,0.17,5664793,457489000.0,80.76,
LLYVA,Liberty Media Corp. Series A Live,0.15,4986588,406407000.0,81.5,
NYT,New York Times CL A,0.13,5065744,351664000.0,69.42,Buy
HEI.A,HEICO Corp. CL A,0.12,1294612,326799000.0,252.43,
FWONK,Liberty Media Corp Formula One Series C,0.11,3018555,297358000.0,98.51,
CHTR,Charter Communications,0.08,1060882,221459000.0,208.75,
LAMR,Lamar Advertising Co.,0.06,1202410,152201000.0,126.58,Add 0.02%
ALLE,Allegion Plc,0.05,780133,124213000.0,159.22,
NVR,NVR Inc.,0.03,11112,81037000.0,7292.75,
DEO,Diageo ADR,0.01,227750,19648000.0,86.27,
JEF,Jefferies Financial Group Inc.,0.01,433558,26868000.0,61.97,
LEN.B,Lennar Corp. CL B,0.01,180980,17215000.0,95.12,
LILA,Liberty LiLAC Group A,0.01,2396665,17711000.0,7.39,Reduce 8.90%
BATRK,Atlanta Braves Holdings Inc. Series C,0.0,115428,4553000.0,39.44,Reduce 48.39%
LILAK,Liberty LiLAC Group C,0.0,1284020,9579000.0,7.46,
