ticker,issuer,portfolio_pct,shares,value,reported_price,activity
AAPL,Apple Inc.,22.04,227917808,65950296000.0,289.36,
AXP,American Express,17.14,151610700,51282319000.0,338.25,
KO,Coca Cola Co.,10.86,400000000,32507999000.0,81.27,
GOOGL,Alphabet Inc.,9.41,78791167,28157600000.0,357.37,Add 45.24%
BAC,Bank of America Corp.,9.2,483394015,27543792000.0,56.98,Reduce 5.89%
CVX,Chevron Corp.,4.67,84375856,13986142000.0,165.76,
OXY,Occidental Petroleum,4.3,264941431,12868205000.0,48.57,
CB,Chubb Limited,3.9,34249183,11670067000.0,340.74,
MCO,Moody's Corp.,3.73,24669778,11173436000.0,452.92,
GOOG,Alphabet Inc. CL C,3.21,27188433,9606489000.0,353.33,Add 658.35%
KHC,Kraft Heinz Co.,2.57,325634818,7691494000.0,23.62,
DVA,DaVita HealthCare Partners,2.15,28880209,6425269000.0,222.48,Reduce 4.05%
DAL,Delta Air Lines Inc.,1.79,57320000,5368591000.0,93.66,Add 43.99%
SIRI,SiriusXM Holdings Inc,1.23,124807117,3686803000.0,29.54,
VRSN,Verisign Inc.,0.76,8989880,2261495000.0,251.56,
KR,Kroger Co.,0.72,39000000,2165671000.0,55.53,Reduce 22.00%
ALLY,Ally Financial Inc.,0.41,27000000,1240650000.0,45.95,Reduce 6.90%
LEN,Lennar Corp.,0.4,13111741,1186482000.0,90.49,Add 29.82%
LLYVK,Liberty Media Corp. Series C Live,0.37,10587143,1118425000.0,105.64,
NYT,New York Times CL A,0.37,15700000,1098686000.0,69.98,Add 3.65%
COF,Capital One Financial,0.2,3000000,601860000.0,200.62,Reduce 58.04%
LLYVA,Liberty Media Corp. Series A Live,0.17,4986588,504942000.0,101.26,
LPX,Louisiana-Pacific Corp.,0.15,5664793,445593000.0,78.66,
NUE,Nucor Corp.,0.14,1857752,413814000.0,222.75,Reduce 52.45%
M,Macy's Inc.,0.06,7347426,173031000.0,23.55,Add 141.82%
NVR,NVR Inc.,0.03,11112,75711000.0,6813.44,
JEF,Jefferies Financial Group Inc.,0.01,433558,21669000.0,49.98,
LEN.B,Lennar Corp. CL B,0.01,298117,26446000.0,88.71,Add 25.42%
DHI,D.R. Horton,0.0,3564,581000.0,163.02,Buy
