ticker,issuer,portfolio_pct,shares,value,reported_price,activity
LOAR,Loar Holdings Inc,47.15,32050240,2583570000.0,80.61,
LAD,Lithia Motors Inc.,13.2,2490534,723475000.0,290.49,
GOOGL,Alphabet Inc.,8.94,1370495,489774000.0,357.37,Reduce 26.55%
SGI,Somnigroup International Inc.,8.3,5798776,454624000.0,78.4,
ABG,Asbury Automotive Group Inc.,7.91,2155492,433426000.0,201.08,
CPNG,Coupang Inc.,4.13,13017964,226122000.0,17.37,
WTW,Willis Towers Watson plc,3.44,720779,188390000.0,261.37,
UHAL.B,U Haul Holding Co Non Voting,3.42,3251469,187610000.0,57.7,
META,Meta Platforms Inc.,3.34,325155,183157000.0,563.29,
NUVB,Nuvation Bio Inc.,0.13,1270504,7216000.0,5.68,
UHAL,U-Haul Holding Co.,0.04,36401,2382000.0,65.44,
