ticker,issuer,portfolio_pct,shares,value,reported_price,activity
AMZN,Amazon.com Inc.,38.2,7567946,1576176000.0,208.27,Add 3.46%
TDG,TransDigm Group Inc.,25.54,909168,1053689000.0,1158.96,Reduce 6.21%
MSFT,Microsoft Corp.,16.75,1867537,691306000.0,370.17,Reduce 10.32%
MCO,Moody's Corp.,9.11,862036,376063000.0,436.25,Add 5.84%
MA,Mastercard Inc.,6.33,522836,261240000.0,499.66,Reduce 3.51%
V,Visa Inc.,3.65,498677,150720000.0,302.24,Reduce 3.48%
GOOGL,Alphabet Inc.,0.3,43391,12478000.0,287.57,Reduce 74.38%
HLT,Hilton Worldwide Holdings,0.11,15341,4665000.0,304.09,Reduce 97.17%
