ticker,issuer,portfolio_pct,shares,value,reported_price,activity
NUE,Nucor Corp.,0.04,2468,403000.0,163.29,Add 0.73%
PLTR,Palantir Technologies Inc.,0.04,2313,411000.0,177.69,Reduce 0.13%
SKYX,Skyx Platforms Corp,0.04,201666,438000.0,2.17,
V,Visa Inc.,0.04,1149,403000.0,350.74,Add 0.97%
WMT,Walmart Inc.,0.04,3716,414000.0,111.41,Reduce 0.40%
AVGO,Broadcom Inc.,0.03,1099,380000.0,345.77,Reduce 1.79%
IJH,Ishares Core S&P  Midcap ETF,0.03,5104,337000.0,66.03,Reduce 9.13%
INTU,Intuit Inc.,0.03,450,298000.0,662.22,Reduce 0.22%
IWN,Ishares Russell 2000 Value E,0.03,1765,320000.0,181.3,
LLY,Eli Lilly & Co.,0.03,325,350000.0,1076.92,Reduce 0.91%
MCD,McDonald's Corp.,0.03,1090,333000.0,305.5,
MRK,Merck & Co.,0.03,2862,301000.0,105.17,Reduce 0.28%
PG,Procter & Gamble,0.03,2194,314000.0,143.12,Reduce 0.23%
SPYG,SPDR Portfolio S&P  500 Growt,0.03,2998,320000.0,106.74,
VB,Vanguard Small Cap ETF,0.03,1148,296000.0,257.84,Add 0.09%
XLK,Technology Select Sect SPDR,0.03,2316,333000.0,143.78,
AON,Aon Plc,0.02,648,229000.0,353.4,
BMY,Bristol-Myers Squibb,0.02,3929,212000.0,53.96,Buy
ETN,Eaton Corp.,0.02,862,275000.0,319.03,Reduce 0.12%
IBM,International Business Machines,0.02,819,243000.0,296.7,Reduce 3.08%
IEMG,iShares Core MSCI Emerging Markets ETF,0.02,3837,258000.0,67.24,Add 2.76%
IWB,Ishares Russell 1000 ETF,0.02,697,260000.0,373.03,Reduce 7.19%
QQQM,Invesco Nasdaq 100 ETF,0.02,1054,267000.0,253.32,Reduce 21.93%
TSLA,Tesla Inc.,0.02,504,227000.0,450.4,Reduce 15.29%
UNH,United Health Group Inc.,0.02,721,238000.0,330.1,Reduce 3.22%
CGEN,Compugen Ltd,0.01,93833,144000.0,1.53,
DCGO,Docgo Inc,0.01,100000,88000.0,0.88,
MRKR,Marker Therapeutics Inc.,0.0,15000,22000.0,1.47,
SCWO,374water Inc,0.0,10000,20000.0,2.0,Buy
