ticker,issuer,portfolio_pct,shares,value,reported_price,activity
BRZE,Braze Inc A,0.02,609814,13227000.0,21.69,Add 284.74%
CAKE,Cheesecake Factory,0.02,133591,10626000.0,79.54,Reduce 9.49%
CCRN,OLD- Cross Country Healthcare,0.02,747281,9872000.0,13.21,Add 26.72%
CENTA,Central Garden & Pet,0.02,289938,11241000.0,38.77,Add 11.33%
CEVA,CEVA Inc.,0.02,209117,9862000.0,47.16,Buy
COLB,Columbia Banking System Inc.,0.02,384600,12326000.0,32.05,Add 67.95%
CTOS,Custom Truck One Source Inc.,0.02,861753,10178000.0,11.81,Add 12.53%
DCOM,Dime Community Bancshares,0.02,331660,13482000.0,40.65,Add 23.22%
DIN,Dine Brands Global Inc.,0.02,296323,10638000.0,35.9,Buy
DV,DoubleVerify Holdings Inc.,0.02,1160000,12574000.0,10.84,Add 82.68%
DY,Dycom Industries,0.02,28037,14175000.0,505.58,Reduce 10.69%
ENSG,Ensign Group,0.02,64600,10356000.0,160.31,Add 5080.43%
FIP,Ftai Infrastructure Inc,0.02,2747562,12749000.0,4.64,Add 8.79%
FLS,Flowserve Corp.,0.02,177409,13157000.0,74.16,Add 58.74%
